Alaska (YST) SNOTEL Site Imnaviat Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Mar 31 05:50:59 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,
,,,,,,,,
Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
968,3/1/23,,3.1,-16.1,-15,-25.6,-20.6,18
968,3/2/23,,3.1,-26.1,-14.4,-26.7,-18.3,18
968,3/3/23,,3.1,-23.9,-23.9,-29.5,-26.7,18
968,3/4/23,,3.1,-27.8,-21.7,-30.6,-26.1,17
968,3/5/23,,3.1,-11.1,-11.1,-28.9,-18.9,18
968,3/6/23,,3.1,2.2,2.8,-16.7,-3.9,18
968,3/7/23,,3.1,4.5,5.6,-3.3,2.2,18
968,3/8/23,,3.1,5.6,8.4,2.2,4.5,18
968,3/9/23,,3.2,-15.6,6.1,-15.6,-2.8,20
968,3/10/23,,3.3,-16.1,-14.4,-21.7,-18.3,23
968,3/11/23,,3.3,-10.6,-6.1,-17.8,-10,22
968,3/12/23,,3.3,-22.8,-8.9,-22.8,-12.8,23
968,3/13/23,,3.4,-28.3,-22.8,-29.5,-27.2,23
968,3/14/23,,3.4,-25,-20.6,-29.5,-25,23
968,3/15/23,,3.4,-31.1,-24.5,-32.8,-28.9,23
968,3/16/23,,3.4,-26.7,-23.3,-31.1,-28.3,23
968,3/17/23,,3.4,-17.8,-17.8,-27.8,-22.8,22
968,3/18/23,,3.4,-11.7,-8.3,-18.9,-15.6,23
968,3/19/23,,3.4,-5.5,-2.8,-15.6,-6.7,22
968,3/20/23,,3.4,-7.8,0,-8.3,-3.9,22
968,3/21/23,,3.4,-7.2,-5,-10,-7.2,20
968,3/22/23,,3.4,-5,-3.9,-8.9,-6.1,20
968,3/23/23,,3.4,-6.7,-4.4,-11.7,-7.8,20
968,3/24/23,,3.4,-6.7,-0.5,-8.3,-4.4,20
968,3/25/23,,3.4,-21.7,-6.7,-21.7,-11.7,19
968,3/26/23,,3.4,-8.3,-7.2,-21.7,-13.9,19
968,3/27/23,,3.4,-3.9,-0.5,-8.3,-5,18
968,3/28/23,,3.5,-10.6,-2.8,-10.6,-5.5,18
968,3/29/23,,3.5,-13.9,-10.6,-20,-15.6,18
968,3/30/23,,3.5,-9.4,-6.1,-15.6,-10,19
968,3/31/23,,3.5,-9.4,-5.5,-11.1,-7.8,19
968,4/1/23,,3.5,-14.4,-6.1,-14.4,-11.1,19
968,4/2/23,,3.5,-10.6,-6.1,-20.6,-11.1,19
968,4/3/23,,3.5,-13.3,-6.1,-13.9,-10,19
968,4/4/23,,3.6,-14.4,-9.4,-18.3,-13.3,20
968,4/5/23,,3.6,-26.1,-14.4,-26.7,-22.8,20
968,4/6/23,,3.6,-27.8,-15.6,-27.8,-24.5,19
968,4/7/23,,3.6,-30,-22.8,-31.1,-28.3,19
968,4/8/23,,3.6,-24.5,-15.6,-31.7,-25,19
968,4/9/23,,3.6,-21.7,-12.8,-99.9,-20,19
968,4/10/23,,3.6,-25,-13.9,-99.9,-28.3,19
968,4/11/23,,3.6,-99.9,-99.9,-99.9,-99.9,19
968,4/12/23,,3.6,-99.9,-99.9,-99.9,-99.9,19
968,4/13/23,,3.6,-99.9,-99.9,-99.9,-99.9,19
968,4/14/23,,3.7,-99.9,-99.9,-99.9,-99.9,19
968,4/15/23,,3.7,-99.9,-99.9,-99.9,-99.9,19
968,4/16/23,,3.7,-99.9,-99.9,-99.9,-99.9,19
968,4/17/23,,3.7,-99.9,-99.9,-99.9,-99.9,20
968,4/18/23,,3.7,-99.9,-99.9,-99.9,-99.9,20
968,4/20/23,,3.7,-99.9,-99.9,-99.9,-99.9,20
968,4/21/23,,3.7,-99.9,-99.9,-99.9,-99.9,20
968,4/22/23,,3.8,-99.9,-99.9,-99.9,-99.9,23
968,4/23/23,,3.8,-99.9,-99.9,-99.9,-99.9,23
968,4/24/23,,3.8,-99.9,-99.9,-99.9,-99.9,22
968,4/25/23,,3.8,-99.9,-99.9,-99.9,-99.9,22
968,4/26/23,,3.8,-99.9,-99.9,-99.9,-99.9,22
968,4/27/23,,3.8,-99.9,-99.9,-99.9,-99.9,22
968,4/28/23,,3.8,-99.9,-99.9,-99.9,-99.9,22
968,4/29/23,,3.8,-99.9,-99.9,-99.9,-99.9,22
968,4/30/23,,3.7,-99.9,-99.9,-99.9,-99.9,22
968,5/1/23,,3.7,-99.9,-99.9,-99.9,-99.9,21